   0.000000E+00  -0.100076E+00
   0.104167E-01  -0.112691E+00
   0.208333E-01  -0.128631E+00
   0.312500E-01  -0.132922E+00
   0.416667E-01  -0.125873E+00
   0.520833E-01  -0.116432E+00
   0.625000E-01  -0.109300E+00
   0.729167E-01  -0.102529E+00
   0.833333E-01  -0.951417E-01
   0.937500E-01  -0.914248E-01
   0.104167E+00  -0.964084E-01
   0.114583E+00  -0.110988E+00
   0.125000E+00  -0.134083E+00
   0.135417E+00  -0.166231E+00
   0.145833E+00  -0.205741E+00
   0.156250E+00  -0.241522E+00
   0.166667E+00  -0.256255E+00
   0.177083E+00  -0.242531E+00
   0.187500E+00  -0.214986E+00
   0.197917E+00  -0.201050E+00
   0.208333E+00  -0.216166E+00
   0.218750E+00  -0.249199E+00
   0.229167E+00  -0.274714E+00
   0.239583E+00  -0.279548E+00
   0.250000E+00  -0.275389E+00
   0.260417E+00  -0.284292E+00
   0.270833E+00  -0.313186E+00
   0.281250E+00  -0.344560E+00
   0.291667E+00  -0.353241E+00
   0.302083E+00  -0.332429E+00
   0.312500E+00  -0.302834E+00
   0.322917E+00  -0.295231E+00
   0.333333E+00  -0.322561E+00
   0.343750E+00  -0.368080E+00
   0.354167E+00  -0.400584E+00
   0.364583E+00  -0.401182E+00
   0.375000E+00  -0.375485E+00
   0.385417E+00  -0.341809E+00
   0.395833E+00  -0.311890E+00
   0.406250E+00  -0.285768E+00
   0.416667E+00  -0.261982E+00
   0.427083E+00  -0.244514E+00
   0.437500E+00  -0.235501E+00
   0.447917E+00  -0.226497E+00
   0.458333E+00  -0.206471E+00
   0.468750E+00  -0.180640E+00
   0.479167E+00  -0.173026E+00
   0.489583E+00  -0.201527E+00
   0.500000E+00  -0.251805E+00
   0.510417E+00  -0.285165E+00
   0.520833E+00  -0.277239E+00
   0.531250E+00  -0.243687E+00
   0.541667E+00  -0.220922E+00
   0.552083E+00  -0.223980E+00
   0.562500E+00  -0.232490E+00
   0.572917E+00  -0.220815E+00
   0.583333E+00  -0.192680E+00
   0.593750E+00  -0.175844E+00
   0.604167E+00  -0.184720E+00
   0.614583E+00  -0.200357E+00
   0.625000E+00  -0.193984E+00
   0.635417E+00  -0.163516E+00
   0.645833E+00  -0.136236E+00
   0.656250E+00  -0.134919E+00
   0.666667E+00  -0.150462E+00
   0.677083E+00  -0.153290E+00
   0.687500E+00  -0.126296E+00
   0.697917E+00  -0.789125E-01
   0.708333E+00  -0.309278E-01
   0.718750E+00   0.756680E-02
   0.729167E+00   0.361995E-01
   0.739583E+00   0.528231E-01
   0.750000E+00   0.530411E-01
   0.760417E+00   0.417088E-01
   0.770833E+00   0.355910E-01
   0.781250E+00   0.478318E-01
   0.791667E+00   0.728376E-01
   0.802083E+00   0.932057E-01
   0.812500E+00   0.101919E+00
   0.822917E+00   0.111517E+00
   0.833333E+00   0.137484E+00
   0.843750E+00   0.175992E+00
   0.854167E+00   0.203889E+00
   0.864583E+00   0.201926E+00
   0.875000E+00   0.174942E+00
   0.885417E+00   0.147337E+00
   0.895833E+00   0.140209E+00
   0.906250E+00   0.154309E+00
   0.916667E+00   0.173447E+00
   0.927083E+00   0.181577E+00
   0.937500E+00   0.176372E+00
   0.947917E+00   0.168868E+00
   0.958333E+00   0.171795E+00
   0.968750E+00   0.187750E+00
   0.979167E+00   0.207485E+00
   0.989583E+00   0.219569E+00
